,Title,Director,Cast,Genre
0,1971,Amrit Sagar,"Manoj Bajpai, Ravi Kishan",War
1,50 Lakh,Chandra Sekhar Yeleti,"Pawan Malhotra, Mohit Chadda",
2,68 Pages,Sridhar Rangayan,"Mouli Ganguly, Joy Sengupta, Jayati Bhatia",Social Drama
3,Aag,Ram Gopal Varma,"Amitabh Bachchan, Ajay Devgn, Sushmita Sen, Nisha Kothari, Mohanlal, Prashant Raj Sachdev, Rajpal Yadav","Action, Thriller"
4,Aaja Nachle,Anil Mehta,"Madhuri Dixit, Akshaye Khanna, Kunal Kapoor, Konkona Sen Sharma, Ranvir Shorey",Musical
5,Aap Kaa Surroor,Prashant Chadda,"Himesh Reshammiya, Hansika Motwani, Mallika Sherawat, Darshan Jariwala, Raj Babbar, Shravan, VJ Bani, Sachin Khedekar, Anant Mahadevan, Lovepreet Aujla, Marrissa Lawrence, Ishitha Chauhan, Sanjay Sharma, Pankaj Jha, Abhijeet Chavan, Lallan Dubey, Ryan Estrada, Ron Matz","Drama, Thriller, Romance"
6,Aggar,Anant Mahadevan,"Shreyas Talpade, Tushar Kapoor, Udita Goswami","Drama, Thriller"
7,Anjaam,Anant Mahadevan,"Emraan Hashmi, Tusshar Kapoor",Thriller
8,Anwar,Manish Jha,"Siddharth Koirala, Rajpal Yadav, Nauheed Cyrusi",Drama
9,Apna Asmaan,Kaushik Roy,"Irrfan Khan, Shobana",Drama
10,Apne,Anil Sharma,"Dharmendra, Sunny Deol, Bobby Deol, Shilpa Shetty, Katrina Kaif, Divya Dutta, Kirron Kher","Family, Drama, Sports"
11,Aur Pappu Paas Ho Gaya,S. Soni,"Krishna Abhishek, Kashmera Shah, Jackie Shroff",Comedy
12,Awarapan,Mohit Suri,"Emraan Hashmi, Shriya Saran, Mrinalini Sharma, Ashutosh Rana","Action, Drama"
13,Bal Ganesh,Pankaj Sharma,"Ashar Shaikh, Adarsh Gautam, Namrata Sawhney",Mythological
14,Benaam,Anees Bazmee,"Ajay Devgn, Bhumika Chawla, Sameera Reddy, Mukesh Tiwari",Action
15,Bheja Fry,Sagar Ballary,"Vinay Pathak, Sarika, Rajat Kapoor",Comedy
16,Bhool Bhulaiyaa,Priyadarshan,"Akshay Kumar, Vidya Balan, Amisha Patel, Shiney Ahuja","Mystery, Thriller, Comedy"
17,Bhram,Pavan Kaul,"Dino Morea, Milind Soman, Sheetal Menon",Thriller
18,Big Brother,Guddu Dhanoa,"Sunny Deol, Priyanka Chopra, Raju Srivastava","Action, Drama, Romance, Crime"
19,Black Friday,Anurag Kashyap,"Kay Kay Menon, Pavan Malhotra, Aditya Srivastava, Imtiaz Ali, Pratima Kazmi, Zakir Hussain","Crime Fiction, Drama, Historical"
20,Blood Brothers,Vishal Bhardwaj,"Ayesha Takia, Siddharth, Pankaj Kapur, Pavan Malhotra",Short Film
21,The Blue Umbrella,Vishal Bhardwaj,"Shreya Sharma, Pankaj Kapur",Children's
22,Bombay to Goa,Raj Pendurkar,"Sunil Pal, Raju Shrivastav, Asrani, Vijay Raaz, Tinu Anand",Comedy
23,Buddha Mar Gaya,Rahul Rawail,"Rakhi Sawant, Anupam Kher, Om Puri, Paresh Rawal",Comedy
24,Cash,Anubhav Sinha,"Ajay Devgn, Sunil Shetty, Zayed Khan, Riteish Deshmukh, Esha Deol, Shamita Shetty, Dia Mirza, Ayesha Takia",Thriller
25,Chak De! India,Shimit Amin,"Shah Rukh Khan, Sagarika Ghatge, Vidya Malvade",Sports
26,Chanchal,Indrajit Singh,"Armaan Shahabi, Gracy Singh","Drama, Musical"
27,Cheeni Kum,R. Balki,"Amitabh Bachchan, Tabu, Paresh Rawal, Zohra Sehgal","Romance, Comedy, Drama"
28,Chhodon Naa Yaar,Dillip Sood,"Jimmy Sheirgill, Kim Sharma",Horror
29,Chooriyan,Sukhwant Dhadda,"Vinod Khanna, Gracy Singh, Sudhanshu Pandey, Vikas Bhalla","Family, Drama"
30,Cocktail: The Deadly Combination,Maninder Bhandari,"Waqar Khan, Mushtaq Khan, Gufi Paintal",Thriller
31,Darling,Ram Gopal Verma,"Fardeen Khan, Isha Koppikar, Esha Deol","Thriller, Horror, Romance, Mystery"
32,Delhii Heights,Anand Kumar,"Jimmy Sheirgill, Neha Dhupia, Om Puri",Drama
33,Dhamaal,Indra Kumar,"Javed Jaffrey, Sanjay Dutt, Riteish Deshmukh, Arshad Warsi, Aashish Chaudhary",Comedy
34,Goal,Vivek Agnihotri,"John Abraham, Bipasha Basu, Arshad Warsi, Boman Irani",Sports
35,Dharm,Bhavna Talwar,"Pankaj Kapur, Hrishitaa Bhatt, Supriya Pathak",
36,Dhokha,Pooja Bhatt,"Muzammil Ibrahim, Tulip Joshi, Anupam Kher","Action, Thriller"
37,Dhol,Priyadarshan,"Sharman Joshi, Tusshar Kapoor, Kunal Khemu, Rajpal Yadav, Tanushree Dutta, Om Puri, Arbaaz Khan",Comedy
38,Dil Dosti Etc,Manish Tiwary,"Shreyas Talpade, Nikita Anand, Imaad Shah, Smriti Mishra, Ishita Sharma",Drama
39,Don't Stop Dreaming,Aditya Raj Kapoor,"Rishi Kapoor, Suniel Shetty",Drama
40,Dus Kahaniyaan,Sanjay Gupta,"Sanjay Dutt, Sunil Shetty, Arbaaz Khan, Nana Patekar, Dino Morea, Manoj Bajpai, Aftab Shivdasani, Diya Mirza, Amrita Singh, Neha Dhupia, Minissha Lamba, Tarina Patel, Naseeruddin Shah, Shabana Azmi, Anupam Kher, Natassha",Drama
41,Ek Chalis Ki Last Local,Sanjay Khanduri,"Abhay Deol, Neha Dhupia","Comedy, Thriller"
42,Eklavya: The Royal Guard,Vidhu Vinod Chopra,"Amitabh Bachchan, Sharmila Tagore, Sanjay Dutt, Saif Ali Khan, Vidya Balan, Jimmy Sheirgill, Jackie Shroff, Raima Sen",Drama
43,Familywala,Neeraj Vora,"Arjun Rampal, Dia Mirza","Romance, Comedy"
44,Fool & Final,Ahmed Khan,"Sunny Deol, Shahid Kapoor, Vivek Oberoi, Ayesha Takia, Jackie Shroff, Paresh Rawal, Sameera Reddy, Gulshan Grover, Om Puri, Sharmila Tagore, Johnny Lever","Action, Comedy, Romance, Musical"
45,"Gandhi, My Father",Feroz Abbas Khan,"Akshaye Khanna, Shefali Shah, Bhumika Chawla",Drama
46,Gangotri,Abhishek Chhadha,"Amitabh Bachchan, Bhumika Chawla",Drama
47,Gauri: The Unborn,Akku Akbar,"Rituparna Sengupta, Atul Kulkarni",Horror
48,Go,Manish Shrivastava,"Nisha Kothari, Kay Kay Menon, Rajpal Yadav","Romance, Drama"
49,"Good Boy, Bad Boy",Ashwini Chaudhary,"Emraan Hashmi, Tusshar Kapoor, Isha Sharvani, Tanushree Dutta, Paresh Rawal",Comedy
50,Guru,Mani Ratnam,"Abhishek Bachchan, Aishwarya Rai, Mithun Chakraborty, Vidya Balan, R. Madhavan","Drama, Romance"
51,Har Pal,Jahnu Barua,"Preity Zinta, Shiney Ahuja, Dharmendra, Isha Koppikar",Romance
