,Opening,Opening.1,Title,Director,Cast,Genre
0,JAN,2.0,Mumbai Chakachak,Sanjay Jha,"Rahul Bose, Ayesha Dharker, Mandira Bedi",Drama
1,JAN,9.0,Horn 'Ok' Pleassss,Rakesh Sarang,"Nana Patekar, Rimi Sen, Muzamil Ibrahim",Romantic comedy
2,JAN,16.0,Chandni Chowk to China,Nikkhil Advani,"Akshay Kumar, Deepika Padukone, Mithun Chakraborty, Ranvir Shorey","Action, Comedy"
3,JAN,23.0,Aasma: The Sky Is the Limit,Rohit Nayyar,"Hrishitaa Bhatt, Seema Biswas, Nauheed Cyrusi, Mansi Dovhal, Ravi Gossain",Drama
4,JAN,23.0,Raaz: The Mystery Continues,Mohit Suri,"Emraan Hashmi, Kangana Ranaut, Adhyayan Suman, Jackie Shroff",Horror
5,JAN,30.0,Luck by Chance,Zoya Akhtar,"Farhan Akhtar, Konkona Sen Sharma, Hrithik Roshan, Juhi Chawla, Rishi Kapoor, Sanjay Kapoor, Dimple Kapadia, Isha Sharvani, Shah Rukh Khan",Drama
6,JAN,30.0,Victory,Ajit Pal Mangat,"Harman Baweja, Amrita Rao, Anupam Kher, Gulshan Grover",Sports
7,FEB,6.0,Dev.D,Anurag Kashyap,"Abhay Deol, Mahi Gill, Kalki Koechlin",Romance
8,FEB,6.0,Chal Chala Chal,T. K. Rajeev Kumar,"Govinda, Rajpal Yadav, Reemma Sen, Om Puri",Comedy
9,FEB,6.0,Mere Khwabon Mein Jo Aaye,Madhureeta Anand,"Randeep Hooda, Raima Sen, Arbaaz Khan","Drama, Fantasy, Musical"
10,FEB,13.0,Billu,Priyadarshan,"Irrfan Khan, Shah Rukh Khan, Lara Dutta, Om Puri, Rajpal Yadav, Asrani, Priyanka Chopra, Kareena Kapoor, Deepika Padukone",Drama
11,FEB,13.0,The Stoneman Murders,Manish Gupta,"Kay Kay Menon, Arbaaz Khan, Vikram Gokhale, Rukhsar Rehman","Crime, Drama, Mystery"
12,FEB,20.0,Delhi-6,Rakeysh Omprakash Mehra,"Abhishek Bachchan, Sonam Kapoor, Amitabh Bachchan, Waheeda Rehman, Divya Dutta, Rishi Kapoor, Om Puri, Atul Kulkarni, Prem Chopra","Romance, Drama"
13,FEB,27.0,Kisse Pyaar Karoon,Ajay Chandok,"Arshad Warsi, Aashish Chaudhary, Aarti Chhabria, Yash Tonk, Udita Goswami",Romance
14,MAR,6.0,13B,Vikram K. Kumar,"R. Madhavan, Neetu Chandra, Saranya, Poonam Dhillon, Ravibabu, Sachin Khedekar, Deepak Dobriyal, Murli Sharma",Horror
15,MAR,6.0,Dhoondte Reh Jaaoge,Umesh Shukla,"Kunal Khemu, Paresh Rawal, Soha Ali Khan, Sonu Sood, Asrani, Johnny Lever",Comedy
16,MAR,6.0,Karma Aur Holi,Manish Gupta,"Sushmita Sen, Randeep Hooda, Naomi Campbell, Suresh Oberoi, Suchitra Krishnamoorthi",Drama
17,MAR,13.0,Jai Veeru,Puneet Sira,"Fardeen Khan, Kunal Khemu, Dia Mirza, Anjana Sukhani",Action Comedy
18,MAR,13.0,Little Zizou,Sooni Taraporevala,"Boman Irani, John Abraham, Kurush Deboo",Comedy
19,MAR,13.0,Gulaal,Anurag Kashyap,"Kay Kay Menon, Deepak Dobriyal, Piyush Mishra, Mahi Gill, Jesse Randhawa, Aditya Shrivastava",Drama
20,MAR,20.0,Aloo Chaat,Robby Grewal,"Aftab Shivdasani, Aamna Sharif, Linda Arsenio, Kulbhushan Kharbanda, Manoj Pahwa, Sanjay Mishra",Romantic comedy
21,MAR,20.0,Barah Aana,Raja Menon,"Naseeruddin Shah, Tannishtha Chatterjee",Drama
22,MAR,20.0,Firaaq,Nandita Das,"Deepti Naval, Naseeruddin Shah, Paresh Rawal, Raghubir Yadav",Political
23,MAR,20.0,Lottery,Hemant Prabhu,"Abhijeet Sawant, Sanjay Narvekar, Mukesh Tiwari, Rucha Gujarati, Manisha Kelkar",Comedy
24,MAR,20.0,Straight,Parvati Balagopalan,"Daman Baggan, Anuj Chaudhary, Ketki Dave, Siddharth Makkar, Gul Panag, Vinay Pathak",Romantic comedy
25,MAR,27.0,Aa Dekhen Zara,Jehangir Surti,"Neil Nitin Mukesh, Bipasha Basu, Rahul Dev, Sophie Choudry","Action, Thriller"
26,MAR,27.0,Ek: The Power of One,Sangeeth Sivan,"Bobby Deol, Shriya Saran, Nana Patekar, Chunky Pandey, Pradeep, Kulbhushan Kharbanda, Jackie Shroff","Action, Thriller"
27,MAR,,,,,
28,MAR,,,,,
29,APR,3.0,8 x 10 Tasveer,Nagesh Kukunoor,"Akshay Kumar, Ayesha Takia, Sharmila Tagore, Javed Jaffrey",Thriller
30,APR,10.0,Ek Se Bure Do,Tarique,"Arshad Warsi, Anita Hassanandani, Rajpal Yadav, Govind Namdeo, Yashpal Sharma, Virendra Saxena, Vijay Raaz, Razzak Khan",Comedy
31,APR,10.0,Pal Pal Dil Ke Ssaat,V Krishna Kumar,"Ajay Jadeja, Mahie Gill, Satish Shah, Sushma Seth, Vinod Kambli, Sylvie",Drama
32,APR,10.0,Coffee House,Gurbir Grewal,"Ashutosh Rana, Sakshi Tanwar, Harsh Chhaya",Drama
33,APR,10.0,School Days,Dilip Sood,"Pankaj Sharma, Rajiv Sethi, Virender Sharma, Saahil Sehgal",
34,APR,10.0,Royal Utsav[2],Ravi K. Patwa,"Vikram Kumar, Monalisa, Sudesh Berry, Master Abhishek Sharma, Tripta Chopra, Antara Vishwas, Charu Arora",Historical Drama
35,APR,17.0,Chowrasta Crossroads of Love[3],Anjan Dutt,"Victor Banerjee, Atul Kulkarni, Roopa Ganguly, Naved Aslam, Aparajita",Drama
