,Opening,Opening.1,Title,Genre,Director,Cast,Ref
0,JAN,7.0,No One Killed Jessica,Social thriller,Raj Kumar Gupta,"Rani Mukherjee, Vidya Balan",
1,JAN,7.0,Impatient Vivek,Adult/Comedy/Romance,Rahat Kazmi,"Vivek Sudershan, Sayali Bhagat",
2,JAN,14.0,Yamla Pagla Deewana,Comedy/Drama/Action,Samir Karnik,"Dharmendra, Sunny Deol, Bobby Deol, Kulraj Randhawa",
3,JAN,14.0,Turning 30!!!,Adult/Romance/Comedy,Alankrita Shrivastava,"Purab Kohli, Gul Panag",
4,JAN,14.0,Mumbai Mast Kallander,Comedy/Comedy/Comedy,Aman Mihani,"Shilpa Shukla, Mohsin Akhtar",
5,JAN,18.0,Odyssey of Persistence,Social,Sagar Ambre Nikunj Pathak,Diksha Tomar,
6,JAN,21.0,Dhobi Ghat,Drama,Kiran Rao,"Prateik Babbar, Aamir Khan, Monica Dogra",
7,JAN,21.0,Hostel,Social,Manish Gupta,"Vatsal Sheth, Tulip Joshi, Mukesh Tiwari",
8,JAN,28.0,Dil Toh Baccha Hai Ji,Comedy,Madhur Bhandarkar,"Ajay Devgn, Emraan Hashmi, Omi Vaidya, Shazahn Padamsee, Shruti Haasan, Tisca Chopra, Shraddha Das",
9,FEB,4.0,Yeh Saali Zindagi,Cult,Sudhir Mishra,"Arunoday Singh, Chitrangada Singh, Irrfan Khan",
10,FEB,4.0,United Six,Action/Thriller,Vishal Aryan Singh,Parvathy Omanakuttan,
11,FEB,4.0,Utt Pataang,Comedy,Srikanth V. Velagaleti,"Vinay Pathak, Mahie Gill, Mona Singh",
12,FEB,4.0,Angel,Drama,Ganesh Acharya,"Nilesh Sahay, Madalasa Sharma, Aruna Irani",
13,FEB,11.0,Patiala House,Family drama,Nikhil Advani,"Rishi Kapoor, Dimple Kapadia, Akshay Kumar, Anushka Sharma",
14,FEB,11.0,Aashiqui.in,Romance,Shankhadeep,"Ishaan Manhaas, Ankita Shrivastava",
15,FEB,18.0,7 Khoon Maaf,Thriller/Black comedy,Vishal Bhardwaj,"Priyanka Chopra, Neil Nitin Mukesh, Naseeruddin Shah, John Abraham, Irrfan Khan, Konkona Sen Sharma",[2]
16,FEB,18.0,Kaccha Limbo,Children,Sagar Ballary,"Vinay Pathak, Sarika, Rukhsar, Chinmay Kambli",[3]
17,FEB,18.0,Masti Express,Comedy,Vikram Pradhan,"Rajpal Yadav, Johnny Lever, Divya Dutta, Manoj Joshi, Razzak Khan, Vijay Patkar, Rohan Shah, Vinit Jain, Sameer Mohammed",[4]
18,FEB,25.0,Tanu Weds Manu,Romance/Drama,Anand Rai,"Madhavan, Kangana Ranaut, Jimmy Sheirgill, Ravi Kissen",
19,FEB,25.0,Satrangee Parachute,Family,Vineet Khetrapal,"Jackie Shroff, Kay Kay Menon, Rupali Ganguly, Zakir Hussain",
20,MAR,4.0,Yeh Faasley,Drama,Yogesh Mittal,"Anupam Kher, Pavan Malhotra",[5]
21,MAR,25.0,Happy Husbands,Comedy,Anay,"Anay, Kurush Deboo, Mohit Ghai, Ahwaan, Archana",[6]
22,MAR,25.0,Monica,Drama,Sushen Bhatnagar,"Divya Dutta, Ashutosh Rana",
23,APR,1.0,Game,Mystery/Action,Abhinay Deo,"Abhishek Bachchan, Kangana Ranaut, Sarah Jane Dias, Jimmy Sheirgill, Boman Irani, Anupam Kher",[7]
24,APR,1.0,F.A.L.T.U,Satire/Comedy/Teen film,Remo D'souza,"Jackky Bhagnani, Puja Gupta, Arshad Warsi, Riteish Deshmukh",[8]
25,APR,1.0,Memories in March,Drama,Sanjoy Nag,"Deepti Naval, Rituparno Ghosh, Raima Sen",[9]
26,APR,8.0,Thank You,Comedy,Anees Bazmee,"Akshay Kumar, Bobby Deol, Sunil Shetty, Irrfan Khan, Sonam Kapoor, Celina Jaitly, Rimi Sen, Mallika Sherawat, Vidya Balan",[10]
27,APR,15.0,Teen Thay Bhai,Drama,Mirgdeep Singh Lamba,"Om Puri, Shreyas Talpade, Deepak Dobriyal, Ragini Khanna",[11]
28,APR,22.0,Dum Maaro Dum,Thriller,Rohan Sippy,"Abhishek Bachchan, Bipasha Basu, Prateik Babbar, Aditya Pancholi, Rana Daggubati, Deepika Padukone",[12]
29,APR,22.0,Zokkomon,Superhero/Children,Satyajit Bhatkal,"Darsheel Safary, Anupam Kher, Manjari Phadnis",[13]
30,APR,28.0,Shor in the City,Drama/Cult,"Raj Nidimoru, Krishna Dk","Tusshar Kapoor, Preeti Desai, Alok Chaturvedi",[14]
31,APR,29.0,Chalo Dilli,Comedy Road movie,Shashant Shah,"Lara Dutta, Vinay Pathak, Akshay Kumar",[15]
32,APR,29.0,I Am,Social/Drama,Onir,"Sanjay Suri, Radhika Apte, Shernaz Patel, Anurag Kashyap, Pooja Gandhi, Rahul Bose, Arjun Mathur, Abhimanyu Shekhar Singh, Nandita Das, Juhi Chawla, Manisha Koirala, Purab Kohli",[16]
33,APR,29.0,Naughty @ 40,Comedy,Jagmohan Mundhra,"Govinda, Yuvika Chaudhary, Anupam Kher, Shakti Kapoor, Sayali Bhagat, Sanjay Mishra",[17]
34,MAY,6.0,Luv Ka The End,Teen/Comedy,Bumpy,"Shraddha Kapoor, Taaha Shah",[18]
35,MAY,6.0,Haunted – 3D,Horror,Vikram Bhatt,"Mahakshay Chakraborty, Twinkle Bajpai, Achint Kaur",[19]
36,MAY,13.0,Love U...Mr. Kalakaar!,Romance/Comedy,S. Manasvi,"Tusshar Kapoor, Amrita Rao",[20]
37,MAY,13.0,Ragini MMS,Horror/Romance,Pawan Kripalani,"Kainaz Motivala, Rajkummar Rao",[21]
38,MAY,13.0,Shagird,Action/Drama,Tigmanshu Dhulia,"Nana Patekar, Zakir Hussain, Mohit Ahlawat, Rimi Sen, Anurag Kashyap",[22]
39,MAY,13.0,Stanley Ka Dabba,Children,Amole Gupte,"Partho, Divya Dutta",[23]
40,MAY,20.0,404,Psychological thriller,Prawaal Raman,"Rajvvir Aroraa, Imaad Shah, Nishikant Kamat",[24]
41,MAY,20.0,Crackers,Animation,Anil Goyal,"Nikhil Dwivedi, Smilie Suri",[25]
42,MAY,20.0,Pyaar Ka Punchnama,Romance/Comedy,Luv Ranjan,"Kartik Aaryan, Raayo S. Bakhirta, Divyendu Sharma, Sonnalli Seygall, Nushrat Bharucha, Ishita Raj Sharma",[26]
43,MAY,27.0,Kucch Luv Jaisaa,Drama/Comedy,Barnali Ray Shukla,"Rahul Bose, Shefali Shah",[27]
44,JUN,3.0,Ready,Comedy,Anees Bazmee,"Salman Khan, Asin, Paresh Rawal, Mahesh Manjrekar, Sanjay Dutt, Ajay Devgn, Kangana Ranaut, Chunky Pandey, Arbaaz Khan, Zareen Khan",[28]
45,JUN,10.0,Shaitan,Drama/Thriller,Bijoy Nambiar,"Rajeev Khandelwal, Kalki Koechlin, Shiv Panditt",[29]
46,JUN,17.0,Bheja Fry 2,Comedy,Sagar Ballary,"Vinay Pathak, Minissha Lamba, Kay Kay Menon, Amole Gupte",[30]
47,JUN,17.0,Always Kabhi Kabhi,Romance/Teen,Roshan Abbas,"Ali Fazal, Giselli Monteiro, Zoa Morani, Satyajeet Dubey, Satish Shah, Lilette Dubey, Shah Rukh Khan",[31]
