,Opening,Opening.1,Title,Director,Cast,Genre,Source
0,JAN,3.0,Mr Joe B. Carvalho,Samir Tiwari,"Arshad Warsi, Soha Ali Khan, Javed Jaffrey, Vijay Raaz",Comedy,[12]
1,JAN,3.0,Sholay 3D,Ramesh Sippy,"Dharmendra, Amitabh Bachchan, Hema Malini, Jaya Bhaduri, Sanjeev Kumar, Amjad Khan, A.K. Hangal",Action/Adventure,[13]
2,JAN,10.0,Dedh Ishqiya,Abhishek Chaubey,"Naseeruddin Shah, Arshad Warsi, Madhuri Dixit, Huma Qureshi",Black Comedy/Thriller,[14]
3,JAN,10.0,Yaariyan,Divya Khosla Kumar,"Himansh Kohli, Shreyas Pardiwalla, Dev Sharma, Nicole Faria, Rakul Preet Singh",Romance,[15]
4,JAN,17.0,Karle Pyaar Karle,Rajesh Pandey,"Shiv Darshan, Hasleen Kaur",Romance,[16]
5,JAN,17.0,Miss Lovely,Ashim Ahluwalia,"Nawazuddin Siddiqui, Niharika Singh",Drama,[17]
6,JAN,17.0,Om-Dar-B-Dar,Kamal Swaroop,"Aditya Lakhia, Manish Gupta, Anita Kanwar, Gopi Desai",Experimental,[18]
7,JAN,17.0,Paranthe Wali Gali,Sachin Gupta,"Anuj Saxena, Neha Pawar, Mohinder Gujral, Vijayant Kohli, Himanshu Thakkar, Yuvraj Haral",Romantic comedy,[19]
8,JAN,17.0,Strings of Passion,Sanghamitra Chaudhari,"Zeenat Aman, Indrani Haldar, Shubh Mukherjee, Rajesh Sharma",Drama,[20]
9,JAN,24.0,Jai Ho,Sohail Khan,"Salman Khan, Daisy Shah, Tabu, Sana Khan, Danny Denzongpa, Mohnish Behl, Vatsal Sheth, Suniel Shetty, Genelia Deshmukh",Action – comedy,[21]
10,JAN,31.0,One by Two,Devika Bhagat,"Abhay Deol, Preeti Desai, Rati Agnihotri, Jayant Kripalani, Darshan Jariwala, Lilette Dubey, Anish Trivedi",Romance/Comedy,[22]
11,FEB,7.0,Babloo Happy Hai,Nila Madhab Panda,"Sahil Anand, Erica Fernandes, Preet Kamal, Sumit Suri, Amol Parashar, Reyhna Malhotra, Parvin Dabas, Anu Choudhury, Pooja Tawde, Khusbhoo Purohit, Mika Singh",Comedy,[23]
12,FEB,7.0,Hasee Toh Phasee,Vinil Mathew,"Sidharth Malhotra, Parineeti Chopra, Adah Sharma",Romance/Comedy,[24]
13,FEB,7.0,Heartless,Shekhar Suman,"Adhyayan Suman, Ariana Ayam, Om Puri, Deepti Naval, Madan Jain, Shekhar Suman",Thriller,[25]
14,FEB,7.0,Ya Rab,Hasnain Hyderabadwala,"Manzar Sehbai, Ajaz Khan, Akhilendra Mishra, Raju Kher, Kishori Shahane, Vikram Singh",Drama/Social,[26]
15,FEB,14.0,Gunday,Ali Abbas Zafar,"Ranveer Singh, Arjun Kapoor, Priyanka Chopra, Irrfan Khan",Action,[27]
16,FEB,14.0,Kaho Na Kaho,Sanjay Niranjan,"Sikandar, Roshni, Raja",Social,[28]
17,FEB,21.0,Darr @ the Mall,Pawan Kripalani,"Jimmy Sheirgill, Nushrat Bharucha, Arif Zakaria, Asif Basra, Nivedita Bhattacharya",Horror,[29]
18,FEB,21.0,Dee Saturday Night,Jay Prakash,"Prashant Narayanan, Arif Zakaria, Aman Verma, Mahi Khanduri, Gaurav Dixit, Nazneen Patel",Drama,[30]
19,FEB,21.0,Gulabi Gang,Nishtha Jain,Sampat Pal Devi,Documentary,[31]
20,FEB,21.0,Highway,Imtiaz Ali,"Randeep Hooda, Alia Bhatt",Drama/Romance,[32]
21,FEB,21.0,Karar: The Deal,Sabir,"Tarun Arora, Mahek Chahal, Jyothi Rana",Thriller,[33]
22,FEB,21.0,Pyar Ka Live Show,Shailendra Singh Rajput,"Ishrat Ali, Rudraksh Pundhir, Rajni Mehta, Upasana Singh, Mushtaq Khan, Adi Irani, Shiva Rindan",Drama,[34]
23,FEB,21.0,The Dark Secrets Of Tonhi,Shiraz Henry,"Natasha Sikka, J. Brandon Hill, Alex Peters, Smitha Siah, Priyanka Joshi",Drama/Action,[35]
24,FEB,28.0,Anuradha,Raju Mavani,"Sachin Khedekar, Smita Jaykar, Disha Choudhary, Shagun Sharma, Rahul Jain, Manoj Joshi, Kishori Shahane, Hrishitaa Bhatt, Aakash Sharma, Raju Mavani, Ganesh Acharya, Manoj Tiwari, Prashant Upadhyay",Drama,[36]
25,FEB,28.0,Shaadi Ke Side Effects,Saket Chaudhary,"Farhan Akhtar, Vidya Balan, Vir Das, Ram Kapoor, Gautami Kapoor, Purab Kohli, Rati Agnihotri",Romance/Comedy,[37]
26,MAR,,,,,,
27,MAR,4.0,Akela The Alone,"Rizwan Qazi, Qasim Bilal, Adil Ahmed",Horror,Abrar Qazi,
28,MAR,7.0,Gulaab Gang,Soumik Sen,"Madhuri Dixit, Juhi Chawla",Social/Action,[38]
29,MAR,7.0,Queen,Vikas Bahl,"Kangana Ranaut, Rajkummar Rao, Lisa Haydon",Romance/Drama,[39]
30,MAR,7.0,Total Siyapaa,E Niwas,"Ali Zafar, Yami Gautam, Sara Khan, Anupam Kher, Kiron Kher",Drama/Comedy,[40]
