,Opening,Opening.1,Title,Director,Cast,Genre,Studio,Ref.
0,JAN,8,Wazir,Bejoy Nambiar,"Amitabh Bachchan, Farhan Akhtar, Aditi Rao Hydari, John Abraham, Neil Nitin Mukesh",Thriller,,[21][22]
1,JAN,15,Chalk n Duster,Jayant Gilatar,"Shabana Azmi, Juhi Chawla, Divya Dutta, Zarina Wahab, Jackie Shroff, Arya Babbar, Richa Chadha",Drama,,[23][24]
2,JAN,15,Rebellious Flower,Krishan Hooda,"Prince Shah, Shashank Singh, Mantra Mugdha, Kirti Adarkar, Bachchan Pachera, Shaneel Sinha",Biopic,,[25][26]
3,JAN,22,Airlift,Raja Krishna Menon,"Akshay Kumar, Nimrat Kaur, Purab Kohli, Ferena Wazeir, Gunjan Malhotra",War/Thriller,,[27][28]
4,JAN,22,Jugni,Shefali Bhushan,"Sugandha Garg, Siddhant Behl, Sadhana Singh, Anuritta K Jha, Samir Sharma",Musical drama,PVR Pictures,[29][30]
5,JAN,22,Kyaa Kool Hain Hum 3,Umesh Ghadge,"Tushar Kapoor, Aftab Shivdasani, Mandana Karimi, Meghna Naidu, Darshan Jariwala, Krushna Abhishek, Claudia Ciesla, Riteish Deshmukh, Gizele Thakral, VJ Andy, Danny Saru",Adult comedy,,[27][31]
6,JAN,29,Saala Khadoos,Sudha Kongara Prasad,"R. Madhavan, Ritika Singh",Sports,,[32][33]
7,JAN,29,Mastizaade,Milap Milan Zaveri,"Tushar Kapoor, Vir Das, Sunny Leone, Shaad Randhawa, Riteish Deshmukh, Gizele Thakral, Bruna Abdullah",Adult comedy,,[27][34]
8,FEB,5,Sanam Teri Kasam,"Radhika Rao, Vinay Sapru","Mawra Hocane, Harshvardhan Rane, Anurag Sinha, Shraddha Das",Romance,,[35][36]
9,FEB,5,Ghayal: Once Again,Sunny Deol,"Sunny Deol, Soha Ali Khan, Aanchal Munjal, Daina Khan, Shivam Patil, Rishabh Arora, Abhilash Kumar",Action/drama,,[27][37]
10,FEB,12,Fitoor,Abhishek Kapoor,"Aditya Roy Kapoor, Katrina Kaif, Tabu, Ajay Devgn, Aditi Rao Hydari, Akshay Oberoi, Lara Dutta, Rahul Bhatt",Romance/drama,,[38][39]
11,FEB,12,Sanam Re,Divya Khosla Kumar,"Pulkit Samrat, Yami Gautam, Urvashi Rautela, Rishi Kapoor, Bharti Singh, Shreyas Pardiwalla",Romance,,[40][41]
12,FEB,19,Direct Ishq,Rajiv S. Ruia,"Rajneesh Duggal, Nidhi Subbaiah, Arjun Bijlani",Drama,,[42][43]
13,FEB,19,Ishq Forever,Sameer Sippy,"Krishna Chaturvedi, Ruhi Singh, Javed Jaffrey, Lisa Ray",Drama,,[42][44]
14,FEB,19,LoveShhuda,Vaibhav Mishra,"Girish Kumar, Navneet Kaur Dhillon, Benaf Dadachandji, Yash Pandit",Romance,,[45][46]
15,FEB,19,Neerja,Ram Madhvani,"Sonam Kapoor, Shabana Azmi, Shekhar Ravjiani",Biopic/drama,,[47][48]
16,FEB,26,Dhara 302,Jitender Singh Narukal,"Rufy Khan, Dipti Dhotre, Gulshan Pandey",Actiom/drama,,[49][50]
17,FEB,26,Aligarh,Hansal Mehta,"Manoj Bajpayee, Rajkummar Rao",Biopic/drama,,[51][52]
18,FEB,26,Bollywood Diaries,K.D. Satyam,"Raima Sen, Ashish Vidyarthi, Salim Diwan, Karuna Pandey, Vineet Kumar Singh",Drama,,[53][54]
19,FEB,26,Love Shagun,Sandesh Nayak,"Anuj Sachdeva, Nidhi Subbaiah, Manit Joura",Romance/comedy,,[55][56]
20,FEB,26,Tere Bin Laden: Dead or Alive,Abhishek Sharma,"Manish Paul, Sikander Kher, Pradhuman Singh, Sugandha Ram",Comedy,,[57][58]
21,MAR,4,Zubaan,Mozez Singh,"Vicky Kaushal, Sarah Jane Dias, Raghav Chanana",Drama,,[59][60]
22,MAR,4,Jai Gangaajal,Prakash Jha,"Priyanka Chopra, Anuj Aggarwal, Prakash Jha, Rahul Bhatt",Drama/comedy,,[61][62]
23,MAR,11,Global Baba,Manoj Sidheshwari Tewari,"Abhimanyu Singh, Sandeepa Dhar, Ravi Kishan, Pankaj Tripathi, Sanjay Mishra, Akhilendra Mishra",Satire,,[63][64]
24,MAR,11,Teraa Surroor,Shawn Arranha,"Himesh Reshammiya, Farah Karimi, Monica Dogra, Naseeruddin Shah, Shekhar Kapur",Action/thriller/romance,,[65][66]
25,MAR,11,OK Mein Dhokhe,Utpal S. Chaudhary,"Zoya Rathore, Sapan Krishna, Vaidhei Singh, Megha Verma, Ravi Thakur, Milan Singh",Drama/thriller,,[67][68]
26,MAR,11,Darling Don't Cheat,Rajkumar Hindusthani,"Gaurav Pandey, Ashish Tyagi, Neha Chaterji",Drama/thriller,,
27,MAR,18,Kapoor & Sons,Shakun Batra,"Sidharth Malhotra, Alia Bhatt, Fawad Khan, Rishi Kapoor",Drama/comedy,"Fox Star Studios, Dharma Productions",[69][70]
28,MAR,25,Rocky Handsome,Nishikant Kamat,"John Abraham, Shruti Haasan, Nathalia Kaur",Action,,[71][72]
29,APR,1,Ki & Ka,R. Balki,"Kareena Kapoor, Arjun Kapoor, Amitabh Bachchan, Jaya Bachchan",Romantic comedy,,[73][74]
30,APR,8,Love Games,Vikram Bhatt,"Patralekha, Tara Alisha Berry, Gaurav Arora",Thriller,,[75][76]
31,APR,8,The Blueberry Hunt,Anup Kurien,"Naseeruddin Shah, Vipin Sharma, Vinay Forrt",Thriller,,[77][78]
32,APR,10,Kaafiron Ki Namaaz,Ram Ramesh Sharma,"Alok Chaturvedi, Joydip Mukhopadhyay, Megh Pant, Priya Raina, Chandrahas Tiwari",Drama,,[79]
33,APR,15,Fan,Maneesh Sharma,"Shah Rukh Khan, Waluscha de Sousa, Sayani Gupta, Shriya Pilgaonkar",Action/drama/thriller,,[80][81]
34,APR,22,Nil Battey Sannata,Ashwini Iyer Tiwari,"Swara Bhaskar, Ratna Pathak, Pankaj Tripathi, Sanjay Suri",Comedy/drama,,[82][83]
35,APR,22,Laal Rang,Syed Ahmad Afzal,"Randeep Hooda, Akshay Oberoi, Rajneesh Duggal, Piaa Bajpai",Action,,[84][85]
36,APR,22,Santa Banta Pvt Ltd,Akashdeep Sabir,"Vir Das, Boman Irani, Ram Kapoor, Neha Dhupia, Lisa Haydon",Comedy,,[86]
37,APR,29,Baaghi,Sabbir Khan,"Tiger Shroff, Shraddha Kapoor, Sudheer Babu, Sunil Grover",Action,"Nadiadwala Grandson Entertainment, UTV Motion Pictures",[87][88]
38,APR,29,Shortcut Safari,Amitabha Singh,"Jimmy Shergill, Aashi Rawal, Sharvil Patel, Mann Patel, Ugam Khetani, Stuti Dwivedi, Deah Tandon, Hardil Kanaba","Adventure, drama",,[89][90]
